Fecha Reporte;Hora Reporte;Tipo;Departamento;Municipio;Lugar;Latitud;Longitud;Hectáreas
11/01/2022;13:00:00;Forestal;Guatemala;Villa Nueva;Km.14.5 CA-09-SUR Residencial Llano Alto;14.10333333;-90.51472222;3
11/01/2022;14:50:00;Forestal;Guatemala;Villa Nueva;San Jorge Santa Isabel II;14.88208333;-90.96875;1
11/01/2022;14:50:00;No Forestal;Santa Rosa;Taxisco; aldea El PanalFinca Santa Matilde;14.88194444;-90.9825;22.72
12/01/2022;18:42:00;Forestal;Huehuetenango;Chiantla;Colonia Las Viudas, Cantón la Z;14.48166667;-90.88166667;1
12/01/2022;15:00:00;Forestal;Sacatepequez;Alotenango;Volcan de Fuego;15.365;-91.44611111;2
13/01/2022;18:20:00;No Forestal;Jalapa;Jalapa;Aldea Sansayo;14.59972222;-89.96861111;1.5
13/01/2022;13:55:00;Forestal;Jutiapa;Jutiapa;Cerro La Bandera;14.30638889;-89.89388889;8
14/01/2022;14:25:00;Forestal;El Progreso;Guastatoya;Cerro de La Virgen;14.82388889;-90.0975;42
15/01/2022;15:00:00;Forestal;Jalapa;Jalapa;Aldea el Arenal;14.61305556;-90.0325;20
15/01/2022;20:40:00;Forestal;Quiche;Zacualpa;Aldea Tunajá;15.02166667;-90.86472222;3
16/01/2022;22:00:00;No Forestal;Guatemala;Amatitlan; Km 30.5 al pacifico;14.45944444;-90.64472222;1.43
17/01/2022;15:25:00;Forestal;Totonicapan;Totonicapan;Paraje Chuantun, cantón Xantún;14.90194444;-91.37138889;1
18/01/2022;11:55:00;Forestal;Guatemala;San Jose Pinula;Finca Las Anonas;14.63972222;-90.74111111;2
18/01/2022;18:00:00;No Forestal;Guatemala;San Pedro Ayampuc;Km 16.5 ;14.51916667;-90.42277778;1
18/01/2022;10:30:00;Forestal;Guatemala;Villa Nueva;Boulevard Reformadores zona 4 en la Rivera del Rio Platanitos;14.73194444;-90.44888889;7
18/01/2022;14:44:00;Forestal;Sacatepequez;Sumpango;Zona 2 casco urbano sector el Potrerito;14.51222222;-90.58555556;1
19/01/2022;14:50:00;Forestal;Huehuetenango;Chiantla;Cantón La Z;14.57055556;-90.68638889;0.5
19/01/2022;20:20:00;Forestal;Quiche;Santa Cruz Del Quiche;Aldea Xatinap Primero;15.00083333;-91.16944444;15
19/01/2022;17:00:00;Forestal;Quiche;Santa Cruz Del Quiche;Aldea Chicorral;15.36388889;-91.44444444;1
19/01/2022;13:40:00;Forestal;Sacatepequez;Santa Lucia Milpas Altas;A un costado de parque ecológico finca municipal florencia ;15.03611111;-90.17694444;0.01
20/01/2022;14:00:00;Forestal;Chimaltenango;Chimaltenango;Kilometro 57 libramiento Chimaltenango;14.90055556;-91.48472222;1
20/01/2022;14:30:00;No Forestal;Huehuetenango;Huehuetenango;Aeródromo Las Lagunas zona 10;15.315;-91.50833333;0.5
20/01/2022;15:30:00;Forestal;Totonicapan;San Andres Xecul;Paraje Patux, Casco urbano;ERROR: Server error: Entry not found in index;ERROR: Server error: Entry not found in index;5
